`	Circuit #S	Rack	General Area it Comes from	General Area it runs to	Secondary Name if Applicable	Color in Rack	Notes
R3F	31-36	3	USL IN CROSSOVER	GRID SR	SIDE LIGHT 4 SR	PURPLE	
R3G	37-42	3	USL IN CROSSOVER	GRID SL	5TH LX	GREY	
R3H	43-48	3	USL IN CROSSOVER	GRID SL	5TH LX	BROWN	
R3J	49-54	3	USL IN CROSSOVER	SL WEIGHT RAIL	SIDE LIGHT 3 SL	WHITE	
R3K	55-60	3	USL IN CROSSOVER			BLACK	
R3L	61-66	3	USL IN CROSSOVER			RED	
R3M	67-72	3	USL IN CROSSOVER			ORANGE	
R3N	73-78	3	USL IN CROSSOVER			YELLOW	
R3P	79-84	3	USL IN CROSSOVER			GREEN	
R3Q	85-90	3	USL IN CROSSOVER			BLUE	
R3R	91-96	3	USL IN CROSSOVER			PURPLE	
R3S	97-102	3	USL IN CROSSOVER	SR GRID	OH ELEC 3	GREY	
R3T	103-108	3	USL IN CROSSOVER	SR GRID	OH ELEC 3	BROWN	
R3U	109-114	3	USL IN CROSSOVER	SR GRID	OH ELEC 3	WHITE	
R3V	115-120	3	USL IN CROSSOVER	SR GRID		BLACK	
R3W	121-126	3	USL IN CROSSOVER	SR GRID		RED	
R3X	133-138	3	USL IN CROSSOVER	SR GRID		ORANGE	
R3Y	127-132	3	USL IN CROSSOVER	SR GRID		YELLOW	
R3Z	133-138	3	USL IN CROSSOVER	SR GRID		GREEN	
R3zAA	139-144	3	USL IN CROSSOVER	SR GRID		BLUE	Set LX SR
R3zBB	145-150	3	USL IN CROSSOVER	SR GRID		PURPLE	
R3zCC	151-156	3	USL IN CROSSOVER			GREY	No Soca
R3zDD	157-162	3	USL IN CROSSOVER			BROWN	No Soca
R3zEE	163-168	3	USL IN CROSSOVER			WHITE	No Soca
R3zFF	169-174	3	USL IN CROSSOVER			BLACK	No Soca
R3zGG	175-180	3	USL IN CROSSOVER			RED	No Soca
R3zHH	181-186	3	USL IN CROSSOVER			ORANGE	No Soca
ML PANEL 1							
M1A	1-6		SR NEXT TO DIMMER ROOM	SR GRID	OH ELEC 1		Only Some of these are usable, What is plugged into ML PANEL 1
M1B	1-6		SR NEXT TO DIMMER ROOM	SR GRID	OH ELEC 2		Only Some of these are usable, What is plugged into ML PANEL 1
M1C	1-6		SR NEXT TO DIMMER ROOM	FOH GRID	APRON		Only Some of these are usable, What is plugged into ML PANEL 1
M1D	1-6		SR NEXT TO DIMMER ROOM	SR SPOT WHOLE	FUNK Pipes		Only Some of these are usable, What is plugged into ML PANEL 1
ML PANEL 2							
M2A	1-6	3	ON RACK 3 SL SIDE	SR GRID	OH ELEC 3		Only Some of these are usable, What is plugged into ML PANEL 2
M2B	2	3	ON RACK 3 SL SIDE	SR GRID	OH ELEC 4		Only Some of these are usable, What is plugged into ML PANEL 2
M2B	4	3	ON RACK 3 SL SIDE	SR GRID	OH ELEC 4		Only Some of these are usable, What is plugged into ML PANEL 2
M2B	6	3	ON RACK 3 SL SIDE	SR GRID	OH ELEC 4		Only Some of these are usable, What is plugged into ML PANEL 2
M2C	1	3	ON RACK 3 SL SIDE	SL SPOT WHOLE	FUNK Pipes		Only Some of these are usable, What is plugged into ML PANEL 2
M2D	1-3	3	ON RACK 3 SL SIDE	GROUND ROW			Only Some of these are usable, What is plugged into ML PANEL 2
M2D	4-6	3	ON RACK 3 SL SIDE				Only Some of these are usable, What is plugged into ML PANEL 2
RACK 2							
TURKEY 1			SR NEXT TO DIMMER ROOM				
TURKEY 2			SR NEXT TO DIMMER ROOM				
TURKEY 3			SR NEXT TO DIMMER ROOM				
[HR] 287							
[HR] 288							
[HR] 293							
[HR] 294							
[HR] 387							
[HR] 388							
[HR] AUDIO CUE							
[HR] Blue Runs							
[HR] Ghosts							
[HR][Q] Rail (A)							
[HR][Q] Rail (R)							
