AS OF 07_2024	Circuit #S	Rack	General Area it Comes from	WHAT THEY ARE CURRENTLY ON	Secondary Name if Applicable	Color in Rack	Notes			
R3K	55-60	3	USL IN CROSSOVER			BLACK				
R3L	61-66	3	USL IN CROSSOVER			RED				
R3M	67-72	3	USL IN CROSSOVER			ORANGE				
R3N	73-78	3	USL IN CROSSOVER			YELLOW				
R3O	79-84	3	USL IN CROSSOVER			GREEN				
R3P	85-90	3	USL IN CROSSOVER			BLUE				
R3Q	91-96	3	USL IN CROSSOVER			PURPLE				
R3R	97-102	3	USL IN CROSSOVER			GREY	SPONSOR BAR CIR			
R3S	103-108	3	USL IN CROSSOVER	SR GRID	OH ELEC 3	BROWN				
R3T	109-114	3	USL IN CROSSOVER	SR GRID	OH ELEC 3	WHITE				
R3U	115-120	3	USL IN CROSSOVER	SR GRID	OH ELEC 3	BLACK				
R3V	121-126	3	USL IN CROSSOVER	SR GRID	OH ELEC 3	RED				
R3W	133-138	3	USL IN CROSSOVER	SR GRID	OH ELEC 4	ORANGE				
R3X	127-132	3	USL IN CROSSOVER	SR GRID	OH ELEC 4	YELLOW				
R3Y		3	USL IN CROSSOVER	SR GRID		GREEN				
R3ZAA	139-144	3	USL IN CROSSOVER	SR GRID	OH ELEC 4	BLUE				
R3zBB	145-150	3	USL IN CROSSOVER	SR GRID	OH ELEC 4	PURPLE				
R3zCC	151-156	3	USL IN CROSSOVER			GREY				
R3zDD	157-162	3	USL IN CROSSOVER			BROWN				
R3zEE	163-168	3	USL IN CROSSOVER			WHITE				
R3zFF	169-174	3	USL IN CROSSOVER			BLACK				
R3zGG	175-180	3	USL IN CROSSOVER			RED				
R3zHH	181-186	3	USL IN CROSSOVER			ORANGE				
ML PANEL 1										
M1A	2		SR NEXT TO DIMMER ROOM	SR GRID						
M1A	4		SR NEXT TO DIMMER ROOM	SR GRID						
M1A	6		SR NEXT TO DIMMER ROOM	SR GRID						
M1B	2		SR NEXT TO DIMMER ROOM	SR GRID						
M1B	4		SR NEXT TO DIMMER ROOM	SR GRID						
M1B	6		SR NEXT TO DIMMER ROOM	SR GRID						
M1C	2		SR NEXT TO DIMMER ROOM	FOH GRID						
M1C	4		SR NEXT TO DIMMER ROOM	FOH GRID						
M1C	6		SR NEXT TO DIMMER ROOM	FOH GRID						
M1D	2		SR NEXT TO DIMMER ROOM	BOX BOOM WHOLE						
M1D	3		SR NEXT TO DIMMER ROOM	BOX BOOM WHOLE						
ML PANEL 2										
M2A	2	3	ON RACK 3 SL SIDE							
M2A	3	3	ON RACK 3 SL SIDE							
M2A	4	3	ON RACK 3 SL SIDE							
M2A	5	3	ON RACK 3 SL SIDE	SR GRID						
M2B	2	3	ON RACK 3 SL SIDE							
M2B	4	3	ON RACK 3 SL SIDE							
M2B	6	3	ON RACK 3 SL SIDE							
M2C	1	3	ON RACK 3 SL SIDE							
M2C	2	3	ON RACK 3 SL SIDE	BOX BOOM WHOLE						
M2C	3	3	ON RACK 3 SL SIDE	BOX BOOM WHOLE						
M2D	1	3	ON RACK 3 SL SIDE	GROUND ROW						
M2D	2	3	ON RACK 3 SL SIDE	GROUND ROW						
M2D	3	3	ON RACK 3 SL SIDE	GROUND ROW						
M111										
RACK 2										
TURKEY 1			SR NEXT TO DIMMER ROOM		Beam 					
TURKEY 2			SR NEXT TO DIMMER ROOM							
TURKEY 3			SR NEXT TO DIMMER ROOM							
[HR] 287										
[HR] 288										
[HR] 293										
[HR] 294										
[HR] 387										
[HR] 388										
[HR] AUDIO CUE										
[HR] Blue Runs										
[HR] Ghosts										
[HR] M206										
[HR] M207										
[HR] M208										
[HR][Q] Rail (A)										
[HR][Q] Rail (R)										
